source,target,type
Aggregateanalysis,AmortizedAnalysis,STRONG
Aggregateanalysis,Dynamictables,STRONG
Aggregateanalysis,Theaccounting method,STRONG
Aggregateanalysis,Thepotential method,STRONG
Algorithms 5,Algorithmsasatechnology,STRONG
All-PairsShortestPaths,Johnson’s algorithm,STRONG
All-PairsShortestPaths,Shortestpathsandmatrixmultiplication,STRONG
All-PairsShortestPaths,TheFloyd-Warshall algorithm,STRONG
All-PairsShortestPaths,forsparsegraphs,STRONG
AmortizedAnalysis,Dynamictables,STRONG
AmortizedAnalysis,Theaccounting method,STRONG
AmortizedAnalysis,Thepotential method,STRONG
Anactivity-selection problem,Elementsofthegreedy strategy,STRONG
Anactivity-selection problem,GreedyAlgorithms,STRONG
Anactivity-selection problem,Huffmancodes,STRONG
ApproximationAlgorithms,Randomization andlinearprogramming,STRONG
ApproximationAlgorithms,Theset-covering problem,STRONG
ApproximationAlgorithms,Thetraveling-salesman problem,STRONG
ApproximationAlgorithms,Thevertex-coverproblem 1108,STRONG
Arandomized,Description,STRONG
Arandomized,Performanceofquicksort,STRONG
Arandomized,Quicksort,STRONG
Arandomized,versionofquicksort,STRONG
Arecursivestructure,Preliminaryapproaches,STRONG
Arecursivestructure,vanEmdeBoasTrees,STRONG
Asymptoticnotation,GrowthofFunctions,STRONG
Asymptoticnotation,Standardnotations,STRONG
Asymptoticnotation,andcommonfunctions,STRONG
AugmentingDataStructures,Dynamicorderstatistics,STRONG
AugmentingDataStructures,Intervaltrees,STRONG
B-Trees 484,Basicoperations,STRONG
B-Trees 484,DefinitionofB-trees 488,STRONG
Basicoperations,DefinitionofB-trees 488,STRONG
BinarySearchTrees,Insertion anddeletion,STRONG
BinarySearchTrees,Queryingabinarysearchtree,STRONG
BinarySearchTrees,Whatisabinarysearchtree,STRONG
Boundingthemaximumdegree 523,Decreasingakeyanddeleting anode,STRONG
Boundingthemaximumdegree 523,FibonacciHeaps,STRONG
Boundingthemaximumdegree 523,Mergeable-heap operations,STRONG
Boundingthemaximumdegree 523,StructureofFibonacciheaps,STRONG
Breadth-firstsearch,Depth-firstsearch 603,STRONG
Breadth-firstsearch,ElementaryGraphAlgorithms,STRONG
Breadth-firstsearch,Representations,STRONG
Breadth-firstsearch,Stronglyconnected components,STRONG
Breadth-firstsearch,Topological,STRONG
Breadth-firstsearch,ofgraphs,STRONG
Bucketsort,Countingsort,STRONG
Bucketsort,Lowerbounds forsorting,STRONG
Bucketsort,Radixsort,STRONG
ComputationalGeometry,Determiningwhetheranypairofsegmentsintersects,STRONG
ComputationalGeometry,Findingtheclosestpairofpoints,STRONG
ComputationalGeometry,Findingtheconvexhull,STRONG
ComputationalGeometry,Line-segmentproperties,STRONG
Countingsort,Lowerbounds forsorting,STRONG
Countingsort,Radixsort,STRONG
DataStructuresforDisjointSets,Linked-list,STRONG
DataStructuresforDisjointSets,representation,STRONG
Decreasingakeyanddeleting anode,FibonacciHeaps,STRONG
Decreasingakeyanddeleting anode,Mergeable-heap operations,STRONG
Decreasingakeyanddeleting anode,StructureofFibonacciheaps,STRONG
Deletion,Insertion,STRONG
Deletion,Propertiesofred-black trees,STRONG
Deletion,Red-BlackTrees,STRONG
